,Source,Target,Weight,Type
13089,AZGOP,Truthseeker7743,1,Directed
13090,andrewbostom,Truthseeker7743,1,Directed
13091,BarnettforAZ,Truthseekeraz,1,Directed
13092,EmeraldRobinson,Truthseekeraz,1,Directed
13093,HowleyReporter,Truthseekeraz,1,Directed
13094,ChuckCallesto,TryAgain78911,1,Directed
13095,iheartmindy,TryAgain78911,1,Directed
13096,andrewbostom,TrygstadBryan,1,Directed
13097,rising_serpent,TrygstadBryan,1,Directed
13098,realDonaldTrump,Tryoung6,1,Directed
13099,RudyGiuliani,Tsand88,1,Directed
13100,CodeMonkeyZ,TseliosKaterina,1,Directed
13101,AZGOP,TsicsafPelosi,1,Directed
13102,PAHouseGOP,TsicsafPelosi,1,Directed
13103,jsolomonReports,TsicsafPelosi,1,Directed
13104,SidneyPowell1,Tsinard1,1,Directed
13105,davereaboi,Tsonon888,1,Directed
13106,Rothbard1776,Tspinnerchaser,1,Directed
13107,LLinWood,TsunamiComing,1,Directed
13108,ChuckCallesto,TtheBshaw102818,1,Directed
13109,LLinWood,TtoonnyyCA,1,Directed
13110,realDonaldTrump,TtoonnyyCA,1,Directed
13111,LouDobbs,TtsinWard,1,Directed
13112,CodeMonkeyZ,Tu2Lu,1,Directed
13113,cocando,Tuamigoasesor1,1,Directed
13114,jessiprincey,Tuan44703010,1,Directed
13115,EricBoehm87,alemancreates,1,Directed
13116,FernandoAmandi,alessacanada,1,Directed
13117,CodeMonkeyZ,coffee_life69,1,Directed
13118,JennaEllisEsq,buymorerealest,1,Directed
13119,OANN,butch_hoffman,1,Directed
13120,Patriot_1952,butch_hoffman,1,Directed
13121,SidneyPowell1,butchers0715,1,Directed
13122,SidneyPowell1,butlerga,1,Directed
13123,APFactCheck,buttafly75,1,Directed
13124,realDonaldTrump,buttatyan,1,Directed
13125,acastef53,butter_trump,1,Directed
13126,hendrick2018,butter_trump,1,Directed
13127,AWeissmann_,butterbeangabs,1,Directed
13128,Newsweek,butterfi_ross,1,Directed
13129,JaySekulow,butterfieldltd,1,Directed
13130,senatormelendez,buyaharbour,1,Directed
13131,realDonaldTrump,buyaolian,1,Directed
13132,LLinWood,buzzskill_2000,1,Directed
13133,realDonaldTrump,bulletdodgeneo,1,Directed
13134,chuckwoolery,buzzy164,1,Directed
13135,Carbongate,buzzyanne,1,Directed
13136,CodeMonkeyZ,buzzyanne,1,Directed
13137,LouDobbs,bvdsells,1,Directed
13138,realDonaldTrump,bvilleds,1,Directed
13139,RudyGiuliani,bwa051,1,Directed
13140,JohnBasham,bwarren1915,1,Directed
13141,ZyroFoxtrot,bwess77,1,Directed
13142,gatewaypundit,bwess77,1,Directed
13143,B_lieveChildren,bwright037,1,Directed
13144,CodeMonkeyZ,bwright037,1,Directed
13145,gatewaypundit,bwright037,1,Directed
13146,DavidJHarrisJr,bwtanker,1,Directed
13147,acnewsitics,busybody2012,1,Directed
13148,BMFORAMERICA45,busterhab,1,Directed
13149,LLinWood,busterandmax21,1,Directed
13150,brunolp30,bussottibrunosx,1,Directed
13151,charliekirk11,bumpsicle,1,Directed
13152,EmeraldRobinson,bunnehbooboo,1,Directed
13153,EmeraldRobinson,bunnie242,1,Directed
13154,ScottFantasy,bunnie242,1,Directed
13155,realDonaldTrump,bunny09019247,1,Directed
13156,charliekirk11,bunny5576,1,Directed
13157,dochartdc,bunnybess1,1,Directed
13158,SidneyPowell1,bunnyofdoom1974,1,Directed
13159,BarnettforAZ,burda77,1,Directed
13160,CodeMonkeyZ,burda77,1,Directed
13161,HowleyReporter,burda77,1,Directed
13162,paulsperry_,burda77,1,Directed
13163,BorisEP,burgercomiteeu,1,Directed
13164,SidneyPowell1,burgett_bran,1,Directed
13165,Ramnier,burgooss,1,Directed
13166,CodeMonkeyZ,burgostk85741,1,Directed
13167,realDonaldTrump,burgundy30,1,Directed
13168,AaronOtsuka,burimitch,1,Directed
13169,LLinWood,burney_jen,1,Directed
13170,LLinWood,burningplat,1,Directed
13171,WingTrending,burnitin97,1,Directed
13172,RudyGiuliani,burns184,1,Directed
13173,LLinWood,burt__baccarat,1,Directed
13174,EmeraldRobinson,burundanga1364,1,Directed
13175,TX_WalkerRanger,bush1014,1,Directed
13176,EmeraldRobinson,businessgrownow,1,Directed
13177,Jou_Kaiser,busquedainfinit,1,Directed
13178,StephenKokx,bx_lao,1,Directed
13179,TimRunsHisMouth,byngbyng,1,Directed
13180,EmeraldRobinson,byrdela,1,Directed
13181,jfullercompany,c_hoskinson,1,Directed
13182,realDonaldTrump,c_midgette,1,Directed
13183,RudyGiuliani,c_mitchell44,1,Directed
13184,rainnwilson,c_rod21,1,Directed
13185,realDonaldTrump,c_sopuluchukwu,1,Directed
13186,CodeMonkeyZ,c_sowers,1,Directed
13187,RealMattCouch,c_zoubi,1,Directed
13188,jessiprincey,ca_stort_,1,Directed
13189,realDonaldTrump,ca_stort_,1,Directed
13190,EpochTimes,cablelabel,1,Directed
13191,BethR_27516,caborradaileho1,1,Directed
13192,gatewaypundit,cabrussett,1,Directed
13193,CodeMonkeyZ,cacackler,1,Directed
13194,realDonaldTrump,cacakistan,1,Directed
13195,OANN,cachibibi,1,Directed
13196,jennybethm,cachick1111,1,Directed
13197,cocando,cacm69,1,Directed
13198,catturd2,cadams320,1,Directed
13199,realDonaldTrump,cadiedorange172,1,Directed
13200,AOECOIN,caelisangelus,1,Directed
13201,stillgray,caesar_morrison,1,Directed
13202,KatieDaviscourt,caesar_soba,1,Directed
13203,RudyGiuliani,caesar_soba,1,Directed
13204,realDonaldTrump,caesear,1,Directed
13205,gatewaypundit,caf91a2c7e3647c,1,Directed
13206,KanekoaTheGreat,cafbear,1,Directed
13207,AaronOtsuka,cafemomo33,1,Directed
13208,EvanAKilgore,caffejian,1,Directed
13209,EmeraldRobinson,c_la67,1,Directed
13210,greg_scott84,c_hopp2014,1,Directed
13211,jj_talking,byrdela,1,Directed
13212,gatewaypundit,c_hopp2014,1,Directed
13213,RepMattGaetz,byrdhouse56,1,Directed
13214,ChanelRion,byzosgal,1,Directed
13215,themarketswork,bzilla4u1,1,Directed
13216,iheartmindy,bzm84413132,1,Directed
13217,CodeMonkeyZ,c0deblue,1,Directed
13218,AZGOP,c11hrr,1,Directed
13219,CodeMonkeyZ,c11hrr,1,Directed
13220,snopes,c11utch,1,Directed
13221,gatewaypundit,c21patti,1,Directed
13222,albernap,c33d14d54841442,1,Directed
13223,DineshDSouza,c4vette2,1,Directed
13224,SirRonHale,c5wired97,1,Directed
13225,LLinWood,c7j7,1,Directed
13226,charliekirk11,c7j7,1,Directed
13227,ChuckCallesto,c8kin4,1,Directed
13228,EmeraldRobinson,c8kin4,1,Directed
13229,LLinWood,c8kin4,1,Directed
13230,SlimKAG,cHacker841,1,Directed
13231,realDonaldTrump,cHan1tYL0RCo,1,Directed
13232,ElectionsCan_E,c_acfreitas,1,Directed
13233,realDonaldTrump,c_acfreitas,1,Directed
13234,DaveGuiness,c_costis,1,Directed
13235,RepMattGaetz,c_dm1377,1,Directed
13236,realDonaldTrump,c_frank86,1,Directed
13237,oneunderscore__,c_grutter,1,Directed
13238,JordanSchachtel,c_gt1982,1,Directed
13239,TheRealKeean,c_hopp2014,1,Directed
13240,EmeraldRobinson,bumgeezy67,1,Directed
13241,JMichaelWaller,buldog1984,1,Directed
13242,charliekirk11,cag04,1,Directed
13243,JCremeans,bski19d,1,Directed
13244,EmeraldRobinson,bs9mm666,1,Directed
13245,CodeMonkeyZ,bsand100,1,Directed
13246,realDonaldTrump,bsattri0019,1,Directed
13247,realDonaldTrump,bsbct,1,Directed
13248,CodeMonkeyZ,bscansdotcom,1,Directed
13249,EmeraldRobinson,bscbadger,1,Directed
13250,LLinWood,bsdorazi,1,Directed
13251,charliekirk11,bsdorazi,1,Directed
13252,gatewaypundit,bsdorazi,1,Directed
13253,HD283271,bsekora,1,Directed
13254,CodeMonkeyZ,bsesti,1,Directed
13255,AZGOP,bsezenias,1,Directed
13256,lindyli,bsgilfedder,1,Directed
13257,LLinWood,bski19d,1,Directed
13258,HowleyReporter,bukemdano34,1,Directed
13259,charliekirk11,bski19d,1,Directed
13260,chiIIum,bski19d,1,Directed
13261,gatewaypundit,bsmith7303,1,Directed
13262,jacknicas,bsn1205,1,Directed
13263,SexCounseling,bso62,1,Directed
13264,9NEWSNANCY,bsocal_xxx,1,Directed
13265,charliekirk11,bsocal_xxx,1,Directed
13266,BorisEP,bspann478,1,Directed
13267,hermanntertsch,bstacofsky,1,Directed
13268,EmeraldRobinson,bstallion510,1,Directed
13269,bluestein,bstallion510,1,Directed
13270,EmeraldRobinson,bstovalljr,1,Directed
13271,HowleyReporter,bstovalljr,1,Directed
13272,PeterFotopoulos,bryonworks,1,Directed
13273,LLinWood,bryonlandtroop,1,Directed
13274,charliekirk11,bryanna_bigica,1,Directed
13275,realDonaldTrump,bryandulaney,1,Directed
13276,HowleyReporter,browntown1776,1,Directed
13277,LLinWood,bruce99340413,1,Directed
13278,Rothbard1776,bruce99340413,1,Directed
13279,jilevin,bruce_yates,1,Directed
13280,RealOmarNavarro,bruceal06061355,1,Directed
13281,gatewaypundit,bruceal06061355,1,Directed
13282,ArchKennedy,brucebarbet2,1,Directed
13283,EmeraldRobinson,brucebarbet2,1,Directed
13284,charliekirk11,brucebarbet2,1,Directed
13285,pnjaban,brucebarbet2,1,Directed
13286,danielchaitin7,bruceburchett1,1,Directed
13287,RudyGiuliani,brudijgua,1,Directed
13288,gatewaypundit,bruister_george,1,Directed
13289,OANN,brujeff77,1,Directed
13290,realDonaldTrump,brunobpoeta69,1,Directed
13291,CodeMonkeyZ,brunobruno17171,1,Directed
13292,DavidJHarrisJr,brunoegloff,1,Directed
13293,Ramnier,brunoegloff,1,Directed
13294,brunolp30,brunohe91,1,Directed
13295,realDonaldTrump,brunoschonhofen,1,Directed
13296,SidneyPowell1,brwneyedbchgrl,1,Directed
13297,RudyGiuliani,bryan_del14,1,Directed
13298,PandaTribune,bryan_kuester,1,Directed
13299,realDonaldTrump,bryancain6767,1,Directed
13300,SidneyPowell1,bryandulaney,1,Directed
13301,gatewaypundit,bryandulaney,1,Directed
13302,pnjaban,bryandulaney,1,Directed
13303,livesmattershow,bstovalljr,1,Directed
13304,RandPaul,bsucards1983,1,Directed
13305,ali,bsw_35630,1,Directed
13306,kylenabecker,buckrodgers7,1,Directed
13307,kylenabecker,bucks_anthony,1,Directed
13308,marklevinshow,bucs70,1,Directed
13309,realDonaldTrump,budbucks,1,Directed
13310,RealMattCouch,buddha00man,1,Directed
13311,EmeraldRobinson,buddycat100,1,Directed
13312,CodeMonkeyZ,buddytaylor_3,1,Directed
13313,LLinWood,budhuey,1,Directed
13314,chuckwoolery,budmankp,1,Directed
13315,paulsperry_,budmankp,1,Directed
13316,charliekirk11,budwell38,1,Directed
13317,realDonaldTrump,buentiosi,1,Directed
13318,RedWingGrips,buff99688768,1,Directed
13319,forwardarc,buffaloon,1,Directed
13320,CodeMonkeyZ,buffalostryder,1,Directed
13321,EpochTimes,buffalostryder,1,Directed
13322,RealErinCruz,buffalostryder,1,Directed
13323,hrtablaze,buffalostryder,1,Directed
13324,CodeMonkeyZ,buffruben,1,Directed
13325,GenFlynn,buffruben,1,Directed
13326,gatewaypundit,buffruben,1,Directed
13327,JackHadders,bugandme2,1,Directed
13328,RepMattGaetz,bugnurse970,1,Directed
13329,realDonaldTrump,bugsmoney95,1,Directed
13330,amhfarraj,buhamoodf,1,Directed
13331,realDonaldTrump,buhamoodf,1,Directed
13332,KelemenCari,builderforTrump,1,Directed
13333,buildstrong1,buildstrong1,1,Directed
13334,LouDobbs,bucks_anthony,1,Directed
13335,gatewaypundit,buckrodgers7,1,Directed
13336,charliekirk11,bswerdon,1,Directed
13337,SidneyPowell1,buckrodgers7,1,Directed
13338,gatewaypundit,btc4723,1,Directed
13339,realDonaldTrump,btcdragonlord,1,Directed
13340,LouDobbs,bth_beth,1,Directed
13341,AKA_RealDirty,btowed,1,Directed
13342,EmeraldRobinson,btowed,1,Directed
13343,LLinWood,btowed,1,Directed
13344,catturd2,btowed,1,Directed
13345,gatewaypundit,bu53905043,1,Directed
13346,LLinWood,bubbacoq,1,Directed
13347,andriakbrown,bubble_gurl,1,Directed
13348,LLinWood,bubblekid17,1,Directed
13349,realDonaldTrump,bubuigbo,1,Directed
13350,realDonaldTrump,bucarito0911,1,Directed
13351,HowleyReporter,buck_connie,1,Directed
13352,AKA_RealDirty,buckeye36,1,Directed
13353,EmeraldRobinson,buckeye36,1,Directed
13354,GenFlynn,buckeye36,1,Directed
13355,TalkMullins,buckeye36,1,Directed
13356,CodeMonkeyZ,buckheadbaby,1,Directed
13357,JedediahBila,buckley_mike,1,Directed
13358,horowitz39,buckleylad88,1,Directed
13359,ChanelRion,buckleyw2001,1,Directed
13360,EmeraldRobinson,bucklind2,1,Directed
13361,LLinWood,bucknorris,1,Directed
13362,LizWillis_,bucknorris,1,Directed
13363,EmeraldRobinson,buckrodgers7,1,Directed
13364,HowleyReporter,buckrodgers7,1,Directed
13365,realDonaldTrump,cafuneibleo3,1,Directed
13366,iheartmindy,cagle09,1,Directed
13367,gatewaypundit,brownsfan204,1,Directed
13368,RubyRockstar333,carlsemmes,1,Directed
13369,EmeraldRobinson,carlosjd777,1,Directed
13370,realDonaldTrump,carlosl53519939,1,Directed
13371,cocando,carlosluismata,1,Directed
13372,rorkafracul,carlosmoracaste,1,Directed
13373,carlostaxi91,carlostaxi91,1,Directed
13374,LLinWood,carloswaltherr,1,Directed
13375,LouDobbs,carloswaltherr,1,Directed
13376,NtveSupport,carloswaltherr,1,Directed
13377,realDonaldTrump,carloswaltherr,1,Directed
13378,bluestein,carlottah,1,Directed
13379,realDonaldTrump,carlovmaggio,1,Directed
13380,PlaysTrumpCard,carlsbadgirl313,1,Directed
13381,LouDobbs,carlsemmes,1,Directed
13382,LLinWood,carlson75111,1,Directed
13383,realDonaldTrump,carforsp,1,Directed
13384,bluestein,carlzimmer,1,Directed
13385,omnescontra1,carmel4044,1,Directed
13386,ablem1136,carmelameola,1,Directed
13387,realDonaldTrump,carmen_luaces,1,Directed
13388,CodeMonkeyZ,carmen_smith_,1,Directed
13389,Cernovich,carmenengel17,1,Directed
13390,petercbarbour,carmenengel17,1,Directed
13391,LLinWood,carmenmesa88,1,Directed
13392,rosapantin1301,carmenrmendez,1,Directed
13393,RealOmarNavarro,carmichael59,1,Directed
13394,realDonaldTrump,carminapher,1,Directed
13395,LLinWood,carnuts3,1,Directed
13396,kylenabecker,carnuts3,1,Directed
13397,LLinWood,carlosgascon26,1,Directed
13398,BrendanKeefe,carloseats,1,Directed
13399,realDonaldTrump,carloschitre18,1,Directed
13400,jennycohn1,carlosbao,1,Directed
13401,SidneyPowell1,cari_kent,1,Directed
13402,TeamTrump,cari_kent,1,Directed
13403,JennaEllisEsq,cari_x36,1,Directed
13404,hrtablaze,cariesfab,1,Directed
13405,RudyGiuliani,carimeli,1,Directed
13406,TX_WalkerRanger,carin795,1,Directed
13407,realDonaldTrump,carina_too_woke,1,Directed
13408,ElAmerican_,cariossa10,1,Directed
13409,RudyGiuliani,carisimolider,1,Directed
13410,danielchaitin7,carjean1979,1,Directed
13411,RudyGiuliani,carl28_new,1,Directed
13412,realDonaldTrump,carl_ainsa,1,Directed
13413,NeverWasABot,carl_swensson,1,Directed
13414,FoxNews,carlajester,1,Directed
13415,charliekirk11,carlajester,1,Directed
13416,chuckwoolery,carlanddena,1,Directed
13417,realDonaldTrump,carlapattermake,1,Directed
13418,rainnwilson,carlazanoni,1,Directed
13419,LLinWood,carlbogart54,1,Directed
13420,charliekirk11,carletonjtysick,1,Directed
13421,papawat1,carlg341,1,Directed
13422,RedWingGrips,carlhittie,1,Directed
13423,charliekirk11,carlocwec,1,Directed
13424,gatewaypundit,carlocwec,1,Directed
13425,LouDobbs,carlos44822482,1,Directed
13426,MichaelCoudrey,carlos_dang3r,1,Directed
13427,realDonaldTrump,carlosbalderas3,1,Directed
13428,LaLocaLuz2,carofiguera,1,Directed
13429,realDonaldTrump,carogotita,1,Directed
13430,CodeMonkeyZ,carol21965175,1,Directed
13431,danielchaitin7,carolinagurl68,1,Directed
13432,SidneyPowell1,carolirene89,1,Directed
13433,RealOmarNavarro,carolke80104064,1,Directed
13434,danielchaitin7,carolmariebensi,1,Directed
13435,FoxNews,carolmcwillia17,1,Directed
13436,bluestein,carolmque,1,Directed
13437,realDonaldTrump,carolou87,1,Directed
13438,ScottFantasy,carolssecrets,1,Directed
13439,stphnfwlr,carolstamey,1,Directed
13440,realDonaldTrump,carolsuee3,1,Directed
13441,ASimplePatriot,carolyn86452721,1,Directed
13442,KelemenCari,carolyn86452721,1,Directed
13443,RedWingGrips,carolyn86452721,1,Directed
13444,T_S_P_O_O_K_Y,carolyn86452721,1,Directed
13445,glennbeck,carolyn86452721,1,Directed
13446,Chicago1Ray,carolynbobyk,1,Directed
13447,realDonaldTrump,carolynbobyk,1,Directed
13448,gatewaypundit,carolynclarke69,1,Directed
13449,EmeraldRobinson,carothers_frank,1,Directed
13450,LLinWood,carozheng,1,Directed
13451,bluestein,carpet_cruiser,1,Directed
13452,CodeMonkeyZ,carpiko,1,Directed
13453,JMichaelWaller,carr_momma,1,Directed
13454,realDonaldTrump,carrasco_jaxson,1,Directed
13455,estebangerbasi,carrascolilian,1,Directed
13456,CodeMonkeyZ,carrasquelmart,1,Directed
13457,LLinWood,carrasquelmart,1,Directed
13458,Ramnier,carrasquelmart,1,Directed
13459,realDonaldTrump,carolinejhowar2,1,Directed
13460,EpochTimes,carolinagurl68,1,Directed
13461,DavidJHarrisJr,carol21965175,1,Directed
13462,CodeMonkeyZ,carolinagurl68,1,Directed
13463,EmeraldRobinson,carol21965175,1,Directed
13464,JennaEllisEsq,carol21965175,1,Directed
13465,KelemenCari,carol21965175,1,Directed
13466,RealMattCouch,carol21965175,1,Directed
13467,themarketswork,carol21965175,1,Directed
13468,RealMattCouch,carol53bet,1,Directed
13469,realDonaldTrump,carol7aguilar,1,Directed
13470,ChuckCallesto,carol88363607,1,Directed
13471,CodeMonkeyZ,carol88363607,1,Directed
13472,charliekirk11,carol88363607,1,Directed
13473,EmeraldRobinson,carol_kostek,1,Directed
13474,HD283271,carol_kostek,1,Directed
13475,EmeraldRobinson,carol_rano,1,Directed
13476,ChanelRion,carol_wils,1,Directed
13477,realDonaldTrump,carola123user,1,Directed
13478,Shinar_Squirrel,carolastorga24,1,Directed
13479,AKA_RealDirty,carolcfcpa,1,Directed
13480,LouDobbs,carolcfcpa,1,Directed
13481,RepMattGaetz,carolcfcpa,1,Directed
13482,gatewaypundit,carolgately,1,Directed
13483,rising_serpent,carolgately,1,Directed
13484,9NEWSNANCY,carolgdillon,1,Directed
13485,LLinWood,carolhenleywil2,1,Directed
13486,charliekirk11,carolhenleywil2,1,Directed
13487,ChanelRion,carolin41872479,1,Directed
13488,lauriejwing,carolin92570678,1,Directed
13489,JustTheNews,carolina_brenna,1,Directed
13490,CodeMonkeyZ,carhauler1969,1,Directed
13491,EricMMatheny,carew_mad,1,Directed
13492,bluestein,cagney1991,1,Directed
13493,gatewaypundit,camnito,1,Directed
13494,Barnes_Law,calvert_sharon,1,Directed
13495,LLinWood,calvert_sharon,1,Directed
13496,LouDobbs,calvert_sharon,1,Directed
13497,TeamTrump,calvert_sharon,1,Directed
13498,realDonaldTrump,calvinharris404,1,Directed
13499,WashTimes,calvinleonghk,1,Directed
13500,TheDamageReport,calvinwburford,1,Directed
13501,DavidJHarrisJr,cam041882,1,Directed
13502,realDonaldTrump,camaro676,1,Directed
13503,Ramnier,camelo_juan,1,Directed
13504,PrisonPlanet,camila_natan,1,Directed
13505,OANN,camillew1969,1,Directed
13506,donaldrusso994,cammml6,1,Directed
13507,jennycohn1,camoxendale,1,Directed
13508,LouDobbs,cares_matic,1,Directed
13509,Ramnier,campesinoecu,1,Directed
13510,Ramnier,camu362,1,Directed
13511,SidneyPowell1,camueller58,1,Directed
13512,jennycohn1,can_liars,1,Directed
13513,gatewaypundit,canadab1967,1,Directed
13514,baseballcrank,canadawatching,1,Directed
13515,realDonaldTrump,canamerican4,1,Directed
13516,gatewaypundit,canary0791,1,Directed
13517,JohnFetterman,canby_c,1,Directed
13518,jennycohn1,canby_c,1,Directed
13519,LouDobbs,cancerhelpbook1,1,Directed
13520,RudyGiuliani,cancerhelpbook1,1,Directed
13521,gatewaypundit,cancerhelpbook1,1,Directed
13522,jpanzer,calsandy,1,Directed
13523,Stonekettle,caloarsmen,1,Directed
13524,LLinWood,callme_Chari,1,Directed
13525,RepMattGaetz,calling12001,1,Directed
13526,peterbakernyt,cagney1991,1,Directed
13527,ChanelRion,cainamofni,1,Directed
13528,jennycohn1,cakelly50,1,Directed
13529,LouDobbs,cal8812,1,Directed
13530,CodeMonkeyZ,calccoach,1,Directed
13531,realDonaldTrump,calccoach,1,Directed
13532,9NEWSNANCY,calderaObededom,1,Directed
13533,AmyMek,calderaObededom,1,Directed
13534,DarnelSugarfoo,calderaObededom,1,Directed
13535,Noelleal,calderongregory,1,Directed
13536,realDonaldTrump,caleb_landes,1,Directed
13537,realDonaldTrump,calebgarraway,1,Directed
13538,realDonaldTrump,calford962,1,Directed
13539,HowleyReporter,cali_tami,1,Directed
13540,LLinWood,calibasl,1,Directed
13541,rising_serpent,calibasl,1,Directed
13542,realDonaldTrump,caliche99ronnie,1,Directed
13543,CodeMonkeyZ,caligirl919710,1,Directed
13544,DavidJHarrisJr,caligirl919710,1,Directed
13545,LLinWood,caligirl919710,1,Directed
13546,gatewaypundit,caligirl919710,1,Directed
13547,realDonaldTrump,calirepub,1,Directed
13548,charliekirk11,calisilva7,1,Directed
13549,gatewaypundit,calland1998,1,Directed
13550,EmeraldRobinson,callanj70,1,Directed
13551,CodeMonkeyZ,called_q,1,Directed
13552,LLinWood,calliegm00,1,Directed
13553,JustTheNews,candicevega,1,Directed
13554,RealMattCouch,candicevega,1,Directed
13555,BrendanKeefe,candidam91,1,Directed
13556,LLinWood,capowilson1,1,Directed
13557,jennycohn1,capricorncita,1,Directed
13558,TeamTrump,captain73238222,1,Directed
13559,realDonaldTrump,captain73238222,1,Directed
13560,ChanelRion,captain_mudkip2,1,Directed
13561,CodeMonkeyZ,captain_mudkip2,1,Directed
13562,LLinWood,captain_mudkip2,1,Directed
13563,realDonaldTrump,captain_mudkip2,1,Directed
13564,ezralevant,captainparedes,1,Directed
13565,danielchaitin7,captdar,1,Directed
13566,realDonaldTrump,captdar,1,Directed
13567,LouDobbs,captpete170,1,Directed
13568,TX_WalkerRanger,capvette,1,Directed
13569,realDonaldTrump,capvette,1,Directed
13570,Proctologo,caracasenlaluc2,1,Directed
13571,johnxdesouza,carapapa2013,1,Directed
13572,HowleyReporter,carawaysmith1,1,Directed
13573,DailyCaller,carbonwhitey,1,Directed
13574,jjauthor,carbonwhitey,1,Directed
13575,realDonaldTrump,carcrash2020,1,Directed
13576,LLinWood,cardio870,1,Directed
13577,charliekirk11,cardio870,1,Directed
13578,mikehermus,cardionurse3,1,Directed
13579,RealOmarNavarro,cardoni101,1,Directed
13580,charliekirk11,cardoni101,1,Directed
13581,jsolomonReports,cardwell_cheryl,1,Directed
13582,AKA_RealDirty,caren_fine,1,Directed
13583,OANN,caren_fine,1,Directed
13584,TeamTrump,cappuccino64,1,Directed
13585,LLinWood,capodanno1093,1,Directed
13586,FibonacciNature,candofeminist,1,Directed
13587,BoSnerdley,capnmike,1,Directed
13588,EmeraldRobinson,candohunter,1,Directed
13589,TX_WalkerRanger,candohunter,1,Directed
13590,iheartmindy,candrewb,1,Directed
13591,jessiprincey,candrewb,1,Directed
13592,chuckwoolery,candyagrant,1,Directed
13593,SaraCarterDC,candycane1118,1,Directed
13594,paulsperry_,candyconnors2,1,Directed
13595,ChuckCallesto,candyq50,1,Directed
13596,BarnettforAZ,caniknak,1,Directed
13597,groth1945,canine2,1,Directed
13598,RealOmarNavarro,canne6800,1,Directed
13599,ACTBrigitte,cannoneerfour,1,Directed
13600,EmeraldRobinson,cannoneerfour,1,Directed
13601,Proven_Right,cannoneerfour,1,Directed
13602,ASimplePatriot,cannoneerno4,1,Directed
13603,CodeMonkeyZ,cannotstopthewx,1,Directed
13604,JohnBasham,cannotstopthewx,1,Directed
13605,kelly2277,cantescape2020,1,Directed
13606,cocando,capdevielleja,1,Directed
13607,charliekirk11,capehenlopen,1,Directed
13608,VeBo1991,capell_william,1,Directed
13609,TheRealKeean,capiecanuck,1,Directed
13610,realDonaldTrump,capitalisttrev1,1,Directed
13611,realDonaldTrump,capitan2366,1,Directed
13612,realDonaldTrump,capkAKD,1,Directed
13613,LLinWood,capleton8803,1,Directed
13614,jessiprincey,capnbink,1,Directed
13615,RealSaavedra,browntom1234,1,Directed
13616,CodeMonkeyZ,browngravy_93,1,Directed
13617,kawasoe0916,bluberryfarm,1,Directed
13618,bluestein,bolue123,1,Directed
13619,HowleyReporter,bohmmom,1,Directed
13620,EsLaRadio2,boicorlasexta,1,Directed
13621,Chrisvance123,boilerskier,1,Directed
13622,CodeMonkeyZ,bojackson2241,1,Directed
13623,marklevinshow,bojackson2241,1,Directed
13624,BMFORAMERICA45,bojanacjanet,1,Directed
13625,EmeraldRobinson,bojanacjanet,1,Directed
13626,patrickdmarley,bokoo143,1,Directed
13627,BreitbartNews,bold_counsel,1,Directed
13628,OANN,boldcryptid,1,Directed
13629,gatewaypundit,boldcryptid,1,Directed
13630,charliekirk11,boldly_go_,1,Directed
13631,jennycohn1,boltgrrl,1,Directed
13632,EmeraldRobinson,bombshell_blue,1,Directed
13633,EmeraldRobinson,bobcalmex,1,Directed
13634,realDonaldTrump,bomom2s,1,Directed
13635,BigFish3000,bonap1868,1,Directed
13636,AWeissmann_,bonbonwag,1,Directed
13637,Earthanks,bonchan1,1,Directed
13638,charliekirk11,bondcalcus,1,Directed
13639,JohnBasham,bondee2020,1,Directed
13640,EmeraldRobinson,bondman66,1,Directed
13641,LLinWood,bondman66,1,Directed
13642,MrAntonioSosa,bondman66,1,Directed
13643,themarketswork,bondman66,1,Directed
13644,AaronOtsuka,bonfire_logic,1,Directed
13645,MichaelCoudrey,bonita67391798,1,Directed
13646,patrickdmarley,bonita_jay1,1,Directed
13647,EmeraldRobinson,bohdanam,1,Directed
13648,LLinWood,bogdanade52,1,Directed
13649,BlueIceAngels,bogdanade52,1,Directed
13650,LLinWood,bofromJersey,1,Directed
13651,AWeissmann_,bobdrummond,1,Directed
13652,jordansarmo,bobdubbia,1,Directed
13653,marklevinshow,bobdubbia,1,Directed
13654,jsolomonReports,bobegay,1,Directed
13655,PatriotRodSteel,boblea21,1,Directed
13656,LLinWood,bobletus,1,Directed
13657,EmeraldRobinson,bobluz2,1,Directed
13658,RudyGiuliani,boboli59342163,1,Directed
13659,AWeissmann_,bobsalt,1,Directed
13660,patrickdmarley,bobsmietana,1,Directed
13661,CodeMonkeyZ,bobsnee,1,Directed
13662,TrumpStudents,bobwilliams1818,1,Directed
13663,danielchaitin7,bobwilson617,1,Directed
13664,PTNewsnetwork,boc_pam,1,Directed
13665,LLinWood,bocajoes,1,Directed
13666,AKA_RealDirty,bocavista2016,1,Directed
13667,DarnelSugarfoo,bocavista2016,1,Directed
13668,LLinWood,bocavista2016,1,Directed
13669,LouDobbs,bocavista2016,1,Directed
13670,iheartmindy,bocavista2016,1,Directed
13671,jennybethm,bocavista2016,1,Directed
13672,kylenabecker,bocavista2016,1,Directed
13673,danielchaitin7,bode68567094,1,Directed
13674,C_3C_3,bodger_the,1,Directed
13675,ThePlumLineGS,bodhisjw,1,Directed
13676,catturd2,bodybycris,1,Directed
13677,marklevinshow,boerneatty,1,Directed
13678,LouDobbs,bonnie_bunnell,1,Directed
