,Source,Target,Weight,Type
128,CodeMonkeyZ,jteter5355,3,Directed
129,EmeraldRobinson,loladog1206,3,Directed
130,AmyMek,Phred_Gee,3,Directed
131,LLinWood,Mom3CCC,3,Directed
132,EmeraldRobinson,MyRubyLu2,3,Directed
133,LLinWood,stawgna,3,Directed
134,CodeMonkeyZ,craigdadoflila,3,Directed
135,EmeraldRobinson,thunder_gray72,3,Directed
136,EmeraldRobinson,DebraAn46408618,3,Directed
137,EmeraldRobinson,AnnFarnsworth,3,Directed
138,CodeMonkeyZ,gurl_hershey,3,Directed
139,EmeraldRobinson,MtRushmore2016,3,Directed
140,CodeMonkeyZ,barbaraghickey,3,Directed
141,LLinWood,MAGA_DJT2016,3,Directed
142,LLinWood,LClynick,3,Directed
143,EmeraldRobinson,ReggieMeezer,3,Directed
144,gatewaypundit,KellyGDonovan,3,Directed
145,LLinWood,sasscer12,3,Directed
146,EmeraldRobinson,RichardStiller4,3,Directed
147,CodeMonkeyZ,Evlu6,3,Directed
148,EmeraldRobinson,KalV194,3,Directed
149,LLinWood,greganon54,3,Directed
150,LLinWood,nocbc,3,Directed
151,kylenabecker,Bookem27835446,3,Directed
152,LLinWood,drhrose,3,Directed
153,HowleyReporter,skin_tone_3,3,Directed
154,LLinWood,2020FLnative,3,Directed
155,EmeraldRobinson,HilldaleLions,3,Directed
156,LLinWood,2013_carole,3,Directed
157,LouDobbs,tenarobin,3,Directed
158,EmeraldRobinson,bansheejumper,3,Directed
159,gatewaypundit,sl_patriot,3,Directed
160,EmeraldRobinson,KenRoberts112,3,Directed
161,jennycohn1,DelamamaResists,3,Directed
162,EmeraldRobinson,MAGAMomSWFL,3,Directed
163,EmeraldRobinson,Politisourced,3,Directed
164,CodeMonkeyZ,ChaplinskiSusan,3,Directed
165,CodeMonkeyZ,mollymist2008,3,Directed
166,CodeMonkeyZ,DebH63951470,3,Directed
167,CodeMonkeyZ,IowaGirlPatriot,3,Directed
168,EmeraldRobinson,dbarbarah3,3,Directed
169,EmeraldRobinson,hesstruc12,3,Directed
170,EmeraldRobinson,rick_maddox,3,Directed
171,CodeMonkeyZ,Erin03truth,3,Directed
172,gatewaypundit,zhichiqige,3,Directed
173,EmeraldRobinson,NeedMoreLuv,3,Directed
174,Megavolts001,X0tammyX0,3,Directed
175,EmeraldRobinson,487d341f306c4b3,3,Directed
176,CodeMonkeyZ,JohnnyMac76,3,Directed
177,LLinWood,RedFish1A,3,Directed
178,EmeraldRobinson,TexasBelle12,3,Directed
179,CodeMonkeyZ,Getaclue77,3,Directed
180,CodeMonkeyZ,FortAwesome451,3,Directed
181,CodeMonkeyZ,raynja_Saipan,3,Directed
182,EmeraldRobinson,victorvr,3,Directed
183,CodeMonkeyZ,KellyMcCorkle9,3,Directed
184,CodeMonkeyZ,SchultzSusie,3,Directed
185,PRAISETRIUNEGOD,PRAISETRIUNEGOD,3,Directed
186,EmeraldRobinson,JohnTho14581919,3,Directed
187,EmeraldRobinson,mikeweeaks,3,Directed
188,gatewaypundit,__Sassafras_,3,Directed
189,LouDobbs,Lisacpc1,3,Directed
190,DavidJHarrisJr,fleekirony,3,Directed
191,EmeraldRobinson,LuvMyCountry7,3,Directed
192,themarketswork,EvolveQuickly,3,Directed
193,CodeMonkeyZ,thesinglewing,3,Directed
194,Robertl01464344,MBOKSR_MAGA,3,Directed
195,EmeraldRobinson,molineux_beau,3,Directed
196,EmeraldRobinson,WV_Kelley,3,Directed
197,EmeraldRobinson,kellyha10912497,3,Directed
198,EmeraldRobinson,Lawrenc96256742,3,Directed
199,CodeMonkeyZ,Nini_to_E_and_T,3,Directed
200,EmeraldRobinson,RhumbaBetty,3,Directed
201,EmeraldRobinson,Kahuna_XL,3,Directed
