,Author,Thread Author,Engagement Type,frequency
17944,mode23,girlsreallyrule,RETWEET,1
17945,modhistoric,LLinWood,RETWEET,1
17946,robertjules4,EmeraldRobinson,RETWEET,1
17947,modmonsters,RepMattGaetz,RETWEET,1
17948,modo49733425,KelemenCari,RETWEET,1
17949,moebetta1950,SaraCarterDC,RETWEET,1
17950,marystuart2662,EmeraldRobinson,RETWEET,1
17951,maryspringer621,LLinWood,RETWEET,1
17952,mylacylily,LLinWood,RETWEET,1
17953,lotto_jr,SidneyPowell1,RETWEET,1
17954,lorri_burke,charliekirk11,RETWEET,1
17955,lorry1914,LLinWood,RETWEET,1
17956,lorry1914,OANN,RETWEET,1
17957,ron_spider,RepMattGaetz,RETWEET,1
17958,lorry1914,davereaboi,RETWEET,1
17959,losemarrp,BlueSky_Report,RETWEET,1
17960,losemarrp,jessiprincey,RETWEET,1
17961,lost_in_drift,realDonaldTrump,RETWEET,1
17962,lostint07245298,jennycohn1,RETWEET,1
17963,lostleadintampa,ChuckCallesto,RETWEET,1
17964,lotto_jr,GenFlynn,RETWEET,1
17965,lou049,LouDobbs,RETWEET,1
17966,lorraine0826,realDonaldTrump,RETWEET,1
17967,louchiej,CodeMonkeyZ,RETWEET,1
17968,louchiej,EmeraldRobinson,RETWEET,1
17969,louchiej,LLinWood,RETWEET,1
17970,louchiej,Pismo_B,RETWEET,1
17971,louchiej,RandPaul,RETWEET,1
17972,louchiej,robbystarbuck,RETWEET,1
17973,loudog112,EmeraldRobinson,RETWEET,1
17974,loudproudTexan,CodeMonkeyZ,RETWEET,1
17975,loudproudTexan,EmeraldRobinson,RETWEET,1
17976,loudproudTexan,themarketswork,RETWEET,1
17977,louiecaruana,LLinWood,RETWEET,1
17978,lorri_burke,PAHouseGOP,RETWEET,1
17979,lorrain27805188,TX_WalkerRanger,RETWEET,1
17980,louiedadawg,JMichaelWaller,RETWEET,1
17981,lorie1917,joshdcaplan,RETWEET,1
17982,loriKaye777,SidneyPowell1,RETWEET,1
17983,lori_clydesdale,ChanelRion,RETWEET,1
17984,ronaldQ86,Ramnier,RETWEET,1
17985,lori_clydesdale,LLinWood,RETWEET,1
17986,lori_clydesdale,carolmswain,RETWEET,1
17987,lori_hawkins,EmeraldRobinson,RETWEET,1
17988,lori_kovach,jacknicas,RETWEET,1
17989,lori_mendicino,RealVinnieJames,RETWEET,1
17990,lori_mendicino,realDonaldTrump,RETWEET,1
17991,loridoerr,SidneyPowell1,RETWEET,1
17992,lorie1917,EmeraldRobinson,RETWEET,1
17993,lorihhh,EmeraldRobinson,RETWEET,1
17994,lorna22633040,LLinWood,RETWEET,1
17995,lorihhh,LLinWood,RETWEET,1
17996,lorihhh,gatewaypundit,RETWEET,1
17997,lorijopittenger,charliekirk11,RETWEET,1
17998,lorilaney2,CodeMonkeyZ,RETWEET,1
17999,lorimi,SidneyPowell1,RETWEET,1
18000,lorisezeg,daithaigilbert,RETWEET,1
18001,loritatum1,jennycohn1,RETWEET,1
18002,loritay98627220,CodeMonkeyZ,RETWEET,1
18003,loriwhanson24,RealOmarNavarro,RETWEET,1
18004,loriwkraus,gatewaypundit,QUOTE,1
18005,loriwlarson,CodeMonkeyZ,RETWEET,1
18006,louiedadawg,EmeraldRobinson,RETWEET,1
18007,louiedadawg,LouDobbs,RETWEET,1
18008,lori53305357,jennycohn1,RETWEET,1
18009,ron816a,KelemenCari,RETWEET,1
18010,love_ggone,CodeMonkeyZ,RETWEET,1
18011,love_usa_maga,CodeMonkeyZ,RETWEET,1
18012,love_usa_maga,PandaTribune,RETWEET,1
18013,love_usa_maga,RobletoFire,RETWEET,1
18014,love_usa_maga,danielchaitin7,RETWEET,1
18015,love_usa_maga,kylenabecker,RETWEET,1
18016,loveamerica62,Perpetualmaniac,RETWEET,1
18017,loveanimals104,LouDobbs,RETWEET,1
18018,loveb4money,realDonaldTrump,RETWEET,1
18019,lovecoffeeroses,CodeMonkeyZ,RETWEET,1
18020,lovedarci,ChuckCallesto,RETWEET,1
18021,lovedarci,vancemurphy,RETWEET,1
18022,ron816a,realDonaldTrump,RETWEET,1
18023,lovedsa1,ACTBrigitte,RETWEET,1
18024,lovehaspower123,zerohedge,RETWEET,1
18025,lovehealinspire,CodeMonkeyZ,RETWEET,1
18026,lovehealinspire,gatewaypundit,RETWEET,1
18027,loveinyoduk,LLinWood,RETWEET,1
18028,lovejapanobasan,NakanisiTakashi,RETWEET,1
18029,lovejapanobasan,realDonaldTrump,RETWEET,1
18030,lovelife0823,DooganPh,RETWEET,1
18031,lovelife0823,realDonaldTrump,RETWEET,1
18032,lovelikeJapan,realDonaldTrump,RETWEET,1
18033,lovelynellie,LouDobbs,RETWEET,1
18034,love_algorithm,EmeraldRobinson,RETWEET,1
18035,love_God1111,realDonaldTrump,RETWEET,1
18036,louiedadawg,charliekirk11,RETWEET,1
18037,ron_crshag,gatewaypundit,RETWEET,1
18038,louis_isg,realDonaldTrump,RETWEET,1
18039,ron_raim,LLinWood,RETWEET,1
18040,louis_zarzour,DrEtiquette,RETWEET,1
18041,louisa_pugliese,jennycohn1,RETWEET,1
18042,louisafreda,EmeraldRobinson,RETWEET,1
18043,louisafreda,MatteaMerta,RETWEET,1
18044,louisafreda,cravecreative,RETWEET,1
18045,louisalexis56,charliekirk11,RETWEET,1
18046,louislau00,GenFlynn,RETWEET,1
18047,louislau00,gatewaypundit,RETWEET,1
18048,louislau00,realDonaldTrump,RETWEET,1
18049,louisrossilevy,charliekirk11,RETWEET,1
18050,loveRflag,gatewaypundit,RETWEET,1
18051,loukeegs,charliekirk11,RETWEET,1
18052,louloublue59,CodeMonkeyZ,RETWEET,1
18053,loump24,realDonaldTrump,RETWEET,1
18054,louweber11,AWeissmann_,RETWEET,1
18055,lovcur,CodeMonkeyZ,RETWEET,1
18056,lovcur,JDRucker,RETWEET,1
18057,lovcur,TeamTrump,RETWEET,1
18058,love061309,realDonaldTrump,RETWEET,1
18059,love29v11,hrtablaze,RETWEET,1
18060,loveAmerica8827,realDonaldTrump,RETWEET,1
18061,lovePhxCCC,DavidJHarrisJr,RETWEET,1
18062,ronaldj100,dcexaminer,RETWEET,1
18063,lori52993,themarketswork,RETWEET,1
18064,lovemychris,GabrielSterling,RETWEET,1
18065,logan_macus2223,realDonaldTrump,RETWEET,1
18066,loc_coco,Ramnier,RETWEET,1
18067,localmotionft,CodeMonkeyZ,RETWEET,1
18068,ronantweets15,realDonaldTrump,RETWEET,1
18069,localmotionft,RealMattCouch,RETWEET,1
18070,locke_jd,CodeMonkeyZ,RETWEET,1
18071,ronaldyfaria,realDonaldTrump,RETWEET,1
18072,lockyyyyy,kawasoe0916,RETWEET,1
18073,loco345,DavidJHarrisJr,RETWEET,1
18074,locraaa,CREWcrew,RETWEET,1
18075,lodge_grey,gummibear737,RETWEET,1
18076,loed_,Ramnier,RETWEET,1
18077,logical_simple,paulsperry_,RETWEET,1
18078,lobsterman5049,TimRunsHisMouth,RETWEET,1
18079,logical_too,WatsonSpeaking,RETWEET,1
18080,logixca,NoliVinci,RETWEET,1
18081,logof781,realDonaldTrump,RETWEET,1
18082,logtruckerlady,SchmittNYC,RETWEET,1
18083,loiejean,CodeMonkeyZ,RETWEET,1
18084,loiejean,RandPaul,RETWEET,1
18085,loiejean,realDonaldTrump,RETWEET,1
18086,loju7,CodeMonkeyZ,RETWEET,1
18087,lokibrian,LLinWood,RETWEET,1
18088,lokilokiloki,bluestein,RETWEET,1
18089,lola314159,LouDobbs,RETWEET,1
18090,lobylyn,tedlieu,RETWEET,1
18091,loborules,realDonaldTrump,RETWEET,1
18092,lolita_barros,Ramnier,RETWEET,1
18093,lmfattybig,realDonaldTrump,RETWEET,1
18094,lmarytweets,patrickdmarley,RETWEET,1
18095,lmatthewlooneyl,realDonaldTrump,RETWEET,1
18096,lmbuzzard,bluestein,RETWEET,1
18097,lmc_sch,gatewaypundit,RETWEET,1
18098,lmcguire467,TheRealKeean,RETWEET,1
18099,lmdavi0,RudyGiuliani,RETWEET,1
18100,ronbaer67,HD283271,RETWEET,1
18101,lmdreamfree,JMichaelWaller,RETWEET,1
18102,lme644,ChanelRion,RETWEET,1
18103,lmeehan3,revrrlewis,RETWEET,1
18104,lmelendez49,charliekirk11,RETWEET,1
18105,lmfl123,gatewaypundit,RETWEET,1
18106,lnikolic49,LLinWood,RETWEET,1
18107,lmichalch,jaketapper,RETWEET,1
18108,lmirone777,C_3C_3,RETWEET,1
18109,lmirone777,charliekirk11,RETWEET,1
18110,lmolivares,cocando,RETWEET,1
18111,lmpensch,realDonaldTrump,RETWEET,1
18112,lmprecure,EmeraldRobinson,RETWEET,1
18113,lmprecure,SidneyPowell1,RETWEET,1
18114,lmr61,voteblue8888,RETWEET,1
18115,ln123Champagne,PaulMaxit,RETWEET,1
18116,lnarvaiz09,realDonaldTrump,RETWEET,1
18117,lndff,NoliVinci,RETWEET,1
18118,ronaldogalvaren,realDonaldTrump,RETWEET,1
18119,lolitaynacho,cocando,RETWEET,1
18120,lori52993,EmeraldRobinson,RETWEET,1
18121,lopatonok,realDonaldTrump,RETWEET,1
18122,lonobleybueno,iheartmindy,RETWEET,1
18123,lonrubie,LLinWood,RETWEET,1
18124,lookin4123,gatewaypundit,RETWEET,1
18125,looking4_news,realDonaldTrump,RETWEET,1
18126,lookup365,realDonaldTrump,RETWEET,1
18127,loopkast1,realDonaldTrump,RETWEET,1
18128,loopyloo305,HowleyReporter,RETWEET,1
18129,loopyloo305,themarketswork,RETWEET,1
18130,loosecannon8282,joshdcaplan,RETWEET,1
18131,loosefeed,dochartdc,RETWEET,1
18132,lopatonok,gheliason,QUOTE,1
18133,lopcute,rainnwilson,RETWEET,1
18134,lonewolfkeith85,realDonaldTrump,RETWEET,1
18135,lord_reags,charliekirk11,RETWEET,1
18136,lord_zorlon_DE,EmeraldRobinson,RETWEET,1
18137,lord_zorlon_DE,LouDobbs,RETWEET,1
18138,lord_zorlon_DE,TimRunsHisMouth,RETWEET,1
18139,lordalpha69,gatewaypundit,RETWEET,1
18140,lordanaldestroy,realDonaldTrump,RETWEET,1
18141,lordganesh,BarnettforAZ,RETWEET,1
18142,lorenz_bonnie,EmeraldRobinson,RETWEET,1
18143,lorenz_bonnie,gatewaypundit,RETWEET,1
18144,lorenza71319,DumondVince,RETWEET,1
18145,lorettafaucher,jaketapper,RETWEET,1
18146,longislandtea12,CodeMonkeyZ,RETWEET,1
18147,lonewolfkeith85,charliekirk11,RETWEET,1
18148,lolli55,CodeMonkeyZ,RETWEET,1
18149,ronaldknma,LLinWood,RETWEET,1
18150,lolli55,EpochTimes,RETWEET,1
18151,lolli55,HeatherChilders,RETWEET,1
18152,lolli55,JohnBasham,RETWEET,1
18153,lolli55,KenTimmerman,RETWEET,1
18154,ronaldofreitas,realDonaldTrump,RETWEET,1
18155,lolli55,TX_WalkerRanger,RETWEET,1
18156,lolli55,TeamTrump,RETWEET,1
18157,lolli55,americanshomer,RETWEET,1
18158,lolli55,gatewaypundit,RETWEET,1
18159,lolli55,jessiprincey,RETWEET,1
18160,lolli55,vt_hokie68,RETWEET,1
18161,lolliedoodle,jennybethm,RETWEET,1
18162,lonestarwmn,realDonaldTrump,RETWEET,1
18163,lollymar2011,danielchaitin7,RETWEET,1
18164,lolmaco,realDonaldTrump,RETWEET,1
18165,lolofrench13,HowleyReporter,RETWEET,1
18166,lolofrench13,PaulMaxit,RETWEET,1
18167,loltxtmebk85,iheartmindy,RETWEET,1
18168,lomedivrit,LouDobbs,RETWEET,1
18169,lomedivrit,RepMattGaetz,RETWEET,1
18170,londonbuddyone,realDonaldTrump,RETWEET,1
18171,lonegamer78,kylegriffin1,RETWEET,1
18172,lonesquirrel,gatewaypundit,RETWEET,1
18173,lonesquirrel,paulsperry_,RETWEET,1
18174,lovemicky96,charliekirk11,RETWEET,1
18175,lovemycoumtry,BernardKerik,RETWEET,1
18176,lmFfna8SIe9AYUa,realDonaldTrump,RETWEET,1
18177,lulubell2141,charliekirk11,RETWEET,1
18178,luisrinconge,Bilancieri,RETWEET,1
18179,luisrivera24,EmeraldRobinson,RETWEET,1
18180,luisrosalesRH,Ramnier,RETWEET,1
18181,luizflaviorocha,Rothbard1776,RETWEET,1
18182,luke72470453,LLinWood,RETWEET,1
18183,luker7379,SidneyPowell1,RETWEET,1
18184,luker7379,charliekirk11,RETWEET,1
18185,luker_peggy,PAHouseGOP,RETWEET,1
18186,lulabelldesigns,CodeMonkeyZ,RETWEET,1
18187,lulabelldesigns,OANN,RETWEET,1
18188,lulabelldesigns,realDonaldTrump,RETWEET,1
18189,lulubellehen,HowleyReporter,RETWEET,1
18190,luisperezds,Ramnier,RETWEET,1
18191,lulucabeza,OANN,RETWEET,1
18192,lulucabeza,themarketswork,RETWEET,1
18193,lululexie,EmeraldRobinson,RETWEET,1
18194,lululexie,JoeShikhman,RETWEET,1
18195,lululexie,charliekirk11,RETWEET,1
18196,lululexie,joshdcaplan,RETWEET,1
18197,romari79,Ramnier,RETWEET,1
18198,luluphoenix,SidneyPowell1,RETWEET,1
18199,lumaina37,LouDobbs,RETWEET,1
18200,lumar33,KlasfeldReports,RETWEET,1
18201,lumberking1,LLinWood,RETWEET,1
18202,luisperezds,cocando,RETWEET,1
18203,luismatrix,realDonaldTrump,RETWEET,1
18204,lumitchellu,charliekirk11,RETWEET,1
18205,luimaro34,Ramnier,RETWEET,1
18206,ludefen,LouDobbs,RETWEET,1
18207,luds4soccer,jsolomonReports,RETWEET,1
18208,ludy730,JoeShikhman,RETWEET,1
18209,ludy730,LLinWood,RETWEET,1
18210,ludy_tim,TeamTrump,RETWEET,1
18211,luger09,realDonaldTrump,RETWEET,1
18212,luicamel,realDonaldTrump,RETWEET,1
18213,luigi_grilla,AOECOIN,RETWEET,1
18214,luigi_grilla,realDonaldTrump,RETWEET,1
18215,luigiscungili,ChanelRion,RETWEET,1
18216,luimaro34,FernandoAmandi,RETWEET,1
18217,luis_sabril,Rumbo_Libertad,RETWEET,1
18218,luismarmo2,dcexaminer,RETWEET,1
18219,luisaodola,Ramnier,RETWEET,1
18220,luisbaca10,LLinWood,RETWEET,1
18221,luisbaram,realDonaldTrump,RETWEET,1
18222,luischumaceiro,realDonaldTrump,QUOTE,1
18223,luisdelaoctava8,Ramnier,RETWEET,1
18224,luisduquev,marklevinshow,RETWEET,1
18225,luisfelipec12,POTUS_Trump_ESP,RETWEET,1
18226,luisgarcia1966,Ramnier,RETWEET,1
18227,luisjurado240,realDonaldTrump,RETWEET,1
18228,luismarga05,realDonaldTrump,RETWEET,1
18229,luismarmo2,TVVnoticias,RETWEET,1
18230,luminescent1,CodeMonkeyZ,RETWEET,1
18231,lumitchellu,realDonaldTrump,RETWEET,1
18232,lucymissy5,realDonaldTrump,RETWEET,1
18233,luvmyrepublic,RandPaul,RETWEET,1
18234,luvSB1,JohnBasham,RETWEET,1
18235,romanrose,michellemalkin,RETWEET,1
18236,luvSB1,charliekirk11,RETWEET,1
18237,luvSB1,themarketswork,RETWEET,1
18238,luvazquez1,RealSamFaddis,RETWEET,1
18239,luvforcake,RepMattGaetz,RETWEET,1
18240,luvforcake,WKnow83,RETWEET,1
18241,luvindiemusic,Gene72214395,RETWEET,1
18242,luvinmarcus5,charliekirk11,RETWEET,1
18243,luvlieladi,gatewaypundit,QUOTE,1
18244,luvmy3suns,DarnelSugarfoo,RETWEET,1
18245,luvspurpletulip,RealOmarNavarro,RETWEET,1
18246,luvSB1,CodeMonkeyZ,RETWEET,1
18247,luvsrotts,LLinWood,RETWEET,1
18248,luvsrotts,wiredx1,RETWEET,1
18249,luvuall11,CodeMonkeyZ,RETWEET,1
18250,luvusa45,SidneyPowell1,RETWEET,1
18251,luxancta,JoeShikhman,RETWEET,1
18252,romanrose,gatewaypundit,RETWEET,1
18253,luzdivinas,ApokalypseBeard,RETWEET,1
18254,luzdivinas,LLinWood,RETWEET,1
18255,luzdivinas,ppv_tahoe,RETWEET,1
18256,luzell_gimeke06,DavidJHarrisJr,RETWEET,1
18257,luzell_gimeke06,EmeraldRobinson,RETWEET,1
18258,luvSB1,HowleyReporter,RETWEET,1
18259,luv4malawi,LLinWood,RETWEET,1
18260,lumpyd74,realDonaldTrump,RETWEET,1
18261,lunartom,hrkbenowen,RETWEET,1
18262,lumpyloohoo,Rasmussen_Poll,RETWEET,1
18263,luna_luna17,GenFlynn,RETWEET,1
18264,romanticgigi2,TheRealKeean,RETWEET,1
18265,lunabuggy,CodeMonkeyZ,RETWEET,1
18266,lunace2pama,tradefutur,RETWEET,1
18267,lunace2pama,yoyoM2018,RETWEET,1
18268,romans_8_1,PAHouseGOP,RETWEET,1
18269,lunaonearth1,JoeShikhman,RETWEET,1
18270,lunar_monkey,charliekirk11,RETWEET,1
18271,lunartom,EynoufElizabeth,RETWEET,1
18272,lunartom,gatewaypundit,RETWEET,1
18273,lunazma,BlueSky_Report,RETWEET,1
18274,luv2research,pepesgrandma,RETWEET,1
18275,lundeee,realDonaldTrump,RETWEET,1
18276,lupe_busto,LLinWood,RETWEET,1
18277,lupine1804,lawyer4laws,RETWEET,1
18278,lurosi63,realDonaldTrump,RETWEET,1
18279,lutz_kit,CodeMonkeyZ,RETWEET,1
18280,luv18wheels,EmeraldRobinson,RETWEET,1
18281,luv18wheels,danielchaitin7,RETWEET,1
18282,luv2garden57,LLinWood,RETWEET,1
18283,luv2grdsns,revrrlewis,RETWEET,1
18284,luv2research,SpaceCorpsUS,RETWEET,1
18285,luv2research,charliekirk11,RETWEET,1
18286,lucypaw,jennycohn1,RETWEET,1
18287,lucym62,DavidJHarrisJr,RETWEET,1
18288,lovemyusa702a,GenFlynn,RETWEET,1
18289,lrogers1111,LLinWood,RETWEET,1
18290,lpmarch8,EricBoehm87,RETWEET,1
18291,romes5711,merissahamilton,RETWEET,1
18292,lqlarson,KanekoaTheGreat,RETWEET,1
18293,lqlarson,OANN,RETWEET,1
18294,lqlarson,RudyGiuliani,RETWEET,1
18295,lqlarson,gatewaypundit,RETWEET,1
18296,lrdaniel444,charliekirk11,RETWEET,1
18297,lrfellows,HowleyReporter,RETWEET,1
18298,lrfellows,michellemalkin,RETWEET,1
18299,lrmccoy,OANN,RETWEET,1
18300,romes5711,LLinWood,RETWEET,1
18301,lrogers1111,marklevinshow,RETWEET,1
18302,lpiscionecons,CassyWearsHeels,RETWEET,1
18303,lronkst,CharlesPHerring,RETWEET,1
18304,lronkst,OANN,RETWEET,1
18305,lrqlovett,realDonaldTrump,RETWEET,1
18306,lsaylor52,FoxNews,RETWEET,1
18307,lscardet,realDonaldTrump,RETWEET,1
18308,lschiefner,realDonaldTrump,RETWEET,1
18309,lschulz01,DavidJHarrisJr,RETWEET,1
18310,lschulz01,RealMattCouch,RETWEET,1
18311,lschulz01,dochartdc,RETWEET,1
18312,lschulz01,gatewaypundit,RETWEET,1
18313,lscyphers,LLinWood,RETWEET,1
18314,lpjCTAsO8kwexYz,realDonaldTrump,RETWEET,1
18315,romg3000,LLinWood,RETWEET,1
18316,lserpFL,rising_serpent,RETWEET,1
18317,romuloisaias,cocando,RETWEET,1
18318,lovemyusa702a,realDonaldTrump,RETWEET,1
18319,loveroffreedon,ChanelRion,RETWEET,1
18320,loveroffreedon,realDonaldTrump,RETWEET,1
18321,loveroscoe,realDonaldTrump,RETWEET,1
18322,lovespainting,TomTSEC,RETWEET,1
18323,lovetogarden,gatewaypundit,RETWEET,1
18324,loveusa2018,marklevinshow,RETWEET,1
18325,ron50599566,charliekirk11,RETWEET,1
18326,lovewarrior528,PAHouseGOP,RETWEET,1
18327,lovewin02191662,ArchKennedy,RETWEET,1
18328,lovinurvibe,bluestein,RETWEET,1
18329,romulobaliache,MaihenH,RETWEET,1
18330,lpeeazzy,charliekirk11,RETWEET,1
18331,low_justice1,realDonaldTrump,RETWEET,1
18332,rommelelchino,Ramnier,RETWEET,1
18333,lowder_ja,chuckwoolery,RETWEET,1
18334,lowder_ja,gatewaypundit,RETWEET,1
18335,lowflyer82,jessiprincey,RETWEET,1
18336,loyal2714,NJAsianMaga,RETWEET,1
18337,loyddaroyd,DarnelSugarfoo,RETWEET,1
18338,lozadajow,Ramnier,RETWEET,1
18339,lozano_marylou,RepVernonJones,RETWEET,1
18340,romg3000,jsolomonReports,RETWEET,1
18341,lpartridge5,BorisEP,RETWEET,1
18342,lselflordmaster,realDonaldTrump,RETWEET,1
18343,lsferguson,EmeraldRobinson,RETWEET,1
18344,lucyloveamerica,charliekirk11,RETWEET,1
18345,luckinubu,LLinWood,RETWEET,1
18346,lucas_05,realDonaldTrump,RETWEET,1
18347,lucas_cherri,LLinWood,RETWEET,1
18348,lucaslay14,charliekirk11,RETWEET,1
18349,luccas0,JamesNavaCom,RETWEET,1
18350,luchoandfriends,chuckwoolery,RETWEET,1
18351,luci_very,ShaneColletti,RETWEET,1
18352,lucianetizziani,realDonaldTrump,RETWEET,1
18353,lucianoelintel1,realDonaldTrump,RETWEET,1
18354,lucilleintexas,EmeraldRobinson,RETWEET,1
18355,lucilleyonce90,RudyGiuliani,RETWEET,1
18356,romashka482,realDonaldTrump,RETWEET,1
18357,luckinubu,gatewaypundit,RETWEET,1
18358,luca79ind,realDonaldTrump,QUOTE,1
18359,luckinubu,hrtablaze,RETWEET,1
18360,luckinubu,realDonaldTrump,RETWEET,1
18361,lucky88duck,CodeMonkeyZ,RETWEET,1
18362,lucky88duck,EmeraldRobinson,RETWEET,1
18363,lucky88duck,dominionvoting,QUOTE,1
18364,lucky88duck,ernie_plumley,QUOTE,1
18365,luckylindy31,AWeissmann_,RETWEET,1
18366,luckyluciano654,charliekirk11,RETWEET,1
18367,luckyluciano654,realDonaldTrump,RETWEET,1
18368,luckytsuiteru,realDonaldTrump,RETWEET,1
18369,lucykelly1950,cocando,RETWEET,1
18370,lucapalanca,realDonaldTrump,RETWEET,1
18371,romermason,humbertotweets,RETWEET,1
18372,romes5711,123RHGreen,QUOTE,1
18373,lstorey94_lisa,LLinWood,RETWEET,1
18374,lsferguson,LLinWood,RETWEET,1
18375,lsfitch,marklevinshow,RETWEET,1
18376,lsg_lsg1,OANN,RETWEET,1
18377,lshi7175,InGodIDoTrust,QUOTE,1
18378,lshi7175,SaraCarterDC,RETWEET,1
18379,lslth2,gatewaypundit,RETWEET,1
18380,lssposito,allanldsantos,RETWEET,1
18381,lsterling0,CodeMonkeyZ,RETWEET,1
18382,lsterling0,EmeraldRobinson,RETWEET,1
18383,lsterling0,realDonaldTrump,RETWEET,1
18384,romeroivan91,gatewaypundit,RETWEET,1
18385,lt90266,charliekirk11,RETWEET,1
18386,luanma1939,kylenabecker,RETWEET,1
18387,lterhoo12,JustTheNews,QUOTE,1
18388,lthorvil,OANN,RETWEET,1
18389,ltprentice,ltprentice,RETWEET,1
18390,ltro,LLinWood,RETWEET,1
18391,ltro,realDonaldTrump,RETWEET,1
18392,ltskynet1,SidneyPowell1,RETWEET,1
18393,lu4155,LLinWood,RETWEET,1
18394,lu4155,shijianxingzou,RETWEET,1
18395,lu73511250,LLinWood,RETWEET,1
18396,luandalobito,EvanAKilgore,RETWEET,1
18397,luandalobito,realDonaldTrump,RETWEET,1
18398,lmanhart,realDonaldTrump,RETWEET,1
18399,lm01234,rising_serpent,RETWEET,1
18400,marysch14824449,CodeMonkeyZ,RETWEET,1
18401,lilfonts,AWeissmann_,RETWEET,1
18402,lilac442000,EpochTimes,RETWEET,1
18403,lilacflower49,AWeissmann_,RETWEET,1
18404,lilahar30564775,9NEWSNANCY,RETWEET,1
18405,ronpowell7,GenFlynn,RETWEET,1
18406,lilahar30564775,LLinWood,RETWEET,1
18407,lilajr,Proctologo,RETWEET,1
18408,lilangel2768,breeadail,RETWEET,1
18409,lilbirdysaid,Sheckyi,RETWEET,1
18410,lilbirdysaid,danielchaitin7,RETWEET,1
18411,lilbit50,JohnFetterman,RETWEET,1
18412,lilbitanothn,realDonaldTrump,RETWEET,1
18413,lilhistorian,nycsouthpaw,RETWEET,1
18414,lil_lightworker,JordanSchachtel,RETWEET,1
18415,lilia1_vzla,humbertotweets,RETWEET,1
18416,liliannetju,Hellohowru12345,RETWEET,1
18417,lilicabust,opropriofaka,RETWEET,1
18418,lilidesousa22,realDonaldTrump,RETWEET,1
18419,lilifountains,RepMattGaetz,RETWEET,1
18420,lilifountains,Rothbard1776,RETWEET,1
18421,lilkenelly,CharlesPHerring,RETWEET,1
18422,lill_the_swiss,EmeraldRobinson,RETWEET,1
18423,lillich_carol,realDonaldTrump,RETWEET,1
18424,lillisaffairs,OANN,RETWEET,1
18425,lilllliang,LaraLeaTrump,RETWEET,1
18426,lil_wing067,RealOmarNavarro,RETWEET,1
18427,lilBee67569241,CodeMonkeyZ,RETWEET,1
18428,lilllliang,realDonaldTrump,RETWEET,1
18429,lightbearer0326,pnjaban,RETWEET,1
18430,lifelearner344,LLinWood,RETWEET,1
18431,lifelearner344,chadsdaddy,RETWEET,1
18432,lifelearner344,joshdcaplan,RETWEET,1
18433,lifestylehints,EmeraldRobinson,RETWEET,1
18434,lifestylehints,RedWingGrips,RETWEET,1
18435,lifestylehints,realDonaldTrump,RETWEET,1
18436,lifetormentsme2,realDonaldTrump,RETWEET,1
18437,ligamediterra,RudyGiuliani,RETWEET,1
18438,ligamediterra,realDonaldTrump,RETWEET,1
18439,ronpowell7,LLinWood,RETWEET,1
18440,lightacandle2,OANN,RETWEET,1
18441,lightdemup22,CodeMonkeyZ,RETWEET,1
18442,likessailboats,jennycohn1,RETWEET,1
18443,lighthouse1600,realDonaldTrump,RETWEET,1
18444,lightonearth111,LLinWood,RETWEET,1
18445,lightseeker22,jennycohn1,RETWEET,1
18446,ligiaelenagv,omarbula,RETWEET,1
18447,ligzok,LLinWood,RETWEET,1
18448,lihaoran17,TangHao_CrossRd,RETWEET,1
18449,lihaoran17,iheartmindy,RETWEET,1
18450,likebeertoo,EmeraldRobinson,RETWEET,1
18451,likeitneverhapp,CodeMonkeyZ,RETWEET,1
18452,likeitneverhapp,realDonaldTrump,RETWEET,1
18453,likeits2015,realDonaldTrump,RETWEET,1
18454,lilllliang,iheartmindy,RETWEET,1
18455,lillov4,realDonaldTrump,RETWEET,1
18456,lifeisgood8888,gatewaypundit,RETWEET,1
18457,linda_pierotti,realDonaldTrump,RETWEET,1
18458,linda56050442,LLinWood,RETWEET,1
18459,linda56050442,RealMattCouch,RETWEET,1
18460,linda56050442,Rothbard1776,RETWEET,1
18461,linda_ates,EvanAKilgore,RETWEET,1
18462,linda_her,BoSnerdley,RETWEET,1
18463,linda_her,danielchaitin7,RETWEET,1
18464,linda_her,gatewaypundit,RETWEET,1
18465,linda_marie1982,DrPaulGosar,RETWEET,1
18466,linda_marie1982,EmeraldRobinson,RETWEET,1
18467,linda_marie1982,iheartmindy,RETWEET,1
18468,linda_p20,jennycohn1,RETWEET,1
18469,lindaannchafin,LLinWood,RETWEET,1
18470,linda56050442,CodeMonkeyZ,RETWEET,1
18471,lindabrummell,DineshDSouza,RETWEET,1
18472,lindabrummell,gatewaypundit,RETWEET,1
18473,lindacrocco,SaraCarterDC,RETWEET,1
18474,lindahaung93,RealSamFaddis,RETWEET,1
18475,lindahaung93,jasonboshi,RETWEET,1
18476,lindahaung93,realDonaldTrump,RETWEET,1
18477,lindahmullen,LLinWood,RETWEET,1
18478,lindalhrar148,rising_serpent,RETWEET,1
18479,lindalo15856970,SchmittNYC,RETWEET,1
18480,ronniem38837765,EricMMatheny,RETWEET,1
18481,lindalo15856970,iheartmindy,RETWEET,1
18482,ronniem38837765,LLinWood,RETWEET,1
18483,linda40192992,charliekirk11,RETWEET,1
18484,ronniem38837765,LarrySchweikart,RETWEET,1
18485,lily04022018,JMichaelWaller,RETWEET,1
18486,lilly134m,charliekirk11,RETWEET,1
